frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
100.0,0.9554837,0.8346863,0.93378645,0.43409634,0.8094908,0.9866029,0.9927671,0.93354017,0.9756035,0.9234062,0.96402067,0.99403644,0.99609864,0.9921467,0.9953023,0.98232496,0.98756146
101.0,0.9558553,0.8364044,0.93391246,0.43814185,0.809256,0.98690957,0.99285454,0.93494576,0.9757,0.924595,0.9641072,0.99412316,0.9961319,0.99219877,0.9953055,0.982444,0.98758763
102.0,0.95457906,0.8441776,0.92675835,0.45682618,0.7795326,0.9888657,0.9920059,0.9457813,0.9698037,0.93096715,0.95558864,0.99576217,0.9964799,0.99459827,0.99570566,0.98753554,0.98931944
103.0,0.95436233,0.8436015,0.92658466,0.4545993,0.77846974,0.98861885,0.9919059,0.9446753,0.9695547,0.9299409,0.9553031,0.99569196,0.99644166,0.9945539,0.99569845,0.98749256,0.9893377
104.0,0.955512,0.8114948,0.9436274,0.36790666,0.8523651,0.9840965,0.99369955,0.9149634,0.98057956,0.9083256,0.9698169,0.993284,0.9963264,0.9913713,0.99573517,0.9813472,0.988577
105.0,0.9547467,0.8300841,0.9352324,0.4108596,0.817925,0.98782825,0.9928277,0.93834615,0.9746412,0.9245959,0.96131164,0.9954542,0.9966221,0.9941995,0.9958947,0.98676133,0.9895649
106.0,0.955129,0.8386585,0.93234426,0.43364888,0.8026731,0.98853314,0.99245,0.943395,0.97235054,0.92925936,0.9587142,0.99565446,0.9965553,0.9944595,0.99580115,0.9872327,0.98941857
107.0,0.95629257,0.83318347,0.9366643,0.42693084,0.82107854,0.9869452,0.993145,0.9349249,0.9771438,0.92521614,0.96601593,0.9941863,0.9962529,0.99228877,0.99545765,0.9825533,0.98784083
108.0,0.9563432,0.8317663,0.93721414,0.42384765,0.8239881,0.9868195,0.99323314,0.93374246,0.97754025,0.92410475,0.9664049,0.9940765,0.9962339,0.9920838,0.99540544,0.9821292,0.9876796
109.0,0.9561343,0.8332579,0.93595093,0.42956716,0.8189113,0.9868758,0.9931344,0.93392646,0.97693074,0.9238982,0.9655518,0.9941063,0.9962147,0.99212486,0.99538165,0.9822212,0.9876557
